time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2015-12-20 11:53:58.004 UTC, ,125,3156221,696,10368, , ,3,3,11,3,0.27, , , , , , ,1,3,3, ,2,2,2,1,5, ,8,3, , , , , , , , , , , , , ,27544,18, ,26796, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612436340,3145728, , , ,13, , , ,2, , , ,3, , , , ,13, ,2048,1, , , , ,110592,24, , , , , , , , , , ,21469080,-1, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 11:54:58.015 UTC, ,589,3172829,1520,26400,112, ,6, ,141,2,0.01, , , , , , , ,6,6, , ,1,2,3,7, ,92,5, , , , , , , , , , , , , ,27544,18, ,26796, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612436340,3145728, , , ,10, ,2, ,3, , , ,3,1, , , ,10,1, , , , , , ,26624,13,538,1, , , , , , , , ,23420080,-1, , , , , , ,186, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,7, , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 11:55:58.036 UTC, ,589,3172829,1520,26400,112, ,6, ,6, , , , , , , , , ,6,6, , , ,2,3,7, ,4, , , , , , , , , , , , , , ,27544,18, ,26796, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612436340,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23420080,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 11:56:40.812 UTC, ,589,3172717,1520,26400, , ,6, , , , , , , , , , , ,6,6, , , ,2,3,7, , , , , , , , , , , , , , , , ,27544,18, ,26796, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612436340,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,24070192,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 11:56:49.597 UTC, ,125,3159893,1160,14040, , ,3,1,17,3,0.18, , , , , , , ,3,3, ,2,1,2,1,5, ,12,5, , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , ,14, , , ,2, , , ,3, , , , ,14, ,2048,1, , , , ,112640,25, , , , , , , , , , ,21929880,-1, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 11:57:49.608 UTC, ,125,3164909,1160,19056, , ,5,1,64,2,0.03, , , , , , ,1,5,5, , , ,3,3,7, ,42,2, , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , ,6, , , ,1, , , ,3, , , , ,6,1, , , , , , ,14336,7, , , , , , , , , , ,22582056,-1, , , , , , ,89, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,6, , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , , , , , 
2015-12-20 11:58:49.620 UTC, ,125,3164909,1160,19056, , ,5, , , , , , , , , , ,1,5,5, , , ,3,3,7, , , , , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,22582056,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 11:59:49.633 UTC, ,125,3164909,1160,19056, , ,5, , , , , , , , , , ,1,5,5, , , ,3,3,7, , , , , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23232192,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 12:00:49.643 UTC, ,125,3164909,1160,19056, , ,5, , , , , , , , , , ,1,5,5, , , ,3,3,7, , , , , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23232192,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 12:01:49.651 UTC, ,125,3164909,1160,19056, , ,5, , , , , , , , , , ,1,5,5, , , ,3,3,7, , , , , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23232192,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 12:02:49.660 UTC, ,125,3164909,1160,19056, , ,5, , , , , , , , , , ,1,5,5, , , ,3,3,7, , , , , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23232192,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 12:03:49.669 UTC, ,125,3164909,1160,19056, , ,5, , , , , , , , , , ,1,5,5, , , ,3,3,7, , , , , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23232192,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 12:04:49.679 UTC, ,125,3164909,1160,19056, , ,5, , , , , , , , , , ,1,5,5, , , ,3,3,7, , , , , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23882336,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 12:05:49.688 UTC, ,125,3164909,1160,19056, , ,5, , , , , , , , , , ,1,5,5, , , ,3,3,7, , , , , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23882336,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 12:06:49.693 UTC, ,125,3164909,1160,19056, , ,5, , , , , , , , , , ,1,5,5, , , ,3,3,7, , , , , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23882336,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 12:07:49.700 UTC, ,125,3164909,1160,19056, , ,5, , , , , , , , , , ,1,5,5, , , ,3,3,7, , , , , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23882336,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2015-12-20 12:08:49.708 UTC, ,125,3164909,1160,19056, , ,5, , , , , , , , , , ,1,5,5, , , ,3,3,7, , , , , , , , , , , , , , , , ,30011,19, ,28639, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1450612607988,3145728, , , , , , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23882336,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
